id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6773924231971942,0.2752813848459537,1-to-1,0.10995146218954331,0.0781941770505038,0.062181619972415676,0.09734800901649804
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.29278610226284046,0.11898227563315734,1-to-1,0.010303697078446427,-0.015098927985034668,0.029998584962737277,-0.1859846692351563
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5329816174757603,0.2573626893776229,4-to-1,0.06119899307721167,0.04282367210798244,0.0372463005547883,-0.006918887916361543
3,Matrix A,WebServer,1.0,0.7324178498227348,0.8067436732682823,0.6442027132047415,1-to-1,0.5010562329809248,0.2021001592220143,0.5262651297649067,0.23004068624905127
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.3839767624820289,0.30469494152867166,1-to-1,0.07780965788932334,0.02093768183489818,0.0609600404623277,0.01802595035659145
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6462207357353468,0.4966220760597571,4-to-1,0.3677988836672421,0.12174142403029826,0.3510295319209439,0.11906417120266923
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7323285479651884,0.5602068861291305,4-to-1,0.5483352086881145,0.24563130951925982,0.5473058288634598,0.24501605824941966
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7213608730646095,0.5824051676879306,1-to-1,0.34599085985651895,0.09233668137521955,0.33985399529825516,0.09741497526516556
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.26742391695434553,0.16738104180832847,4-to-1,0.036639153033950225,0.07813567913749783,0.03788350958340936,0.09462567914350185
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5633597330632616,0.36147304678956,4-to-1,0.3206756907010022,0.1875259988915153,0.3295248768153055,0.2004088949881204
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.29977157599268833,0.12735059428622889,2-to-1,0.011346004407080236,-0.02116048344636956,0.051798446513232434,0.22655767085415318
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.3776831893529236,0.1604494303882678,2-to-1,0.01669381696327254,-0.001680466109478093,0.07728976858598724,0.2780799437382244
12,Matrix C,WebServer,2.0,0.7383383855483423,0.8263943503041119,0.33430138038407115,2-to-1,0.18858016285531687,0.07685329108089296,0.2381288414483421,0.15685356541131468
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.6203740441826289,0.47675883596281404,4-to-1,0.31832501207689207,0.104376505574688,0.300501693695921,0.09750003090987676
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.27643935485394266,0.11234050724644967,1-to-1,0.01680744711090106,0.001782250214723161,0.018570637280471064,-0.11959959311007436
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6830533818517521,0.5750742934307603,2-to-1,0.4273147938286225,0.18152534094632794,0.40850943277199175,0.1925609817829286
16,Matrix A,WebServer,1.0,0.409306522776384,0.45092879853496254,0.3796411093489557,2-to-1,0.12767766942395525,0.09066204903391335,0.11081133641471654,0.08254701145225073
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2608385350377827,0.2153268517689615,2-to-1,0.04784973782114978,0.04803688246193581,0.043500739912114554,0.044337365656206405
18,Matrix A,WebServer,2.0,0.27197601043687214,0.2991130258884246,0.23885020348665115,1-to-1,0.06449700361026602,0.07203747144558315,0.0721953741711481,0.09446448341580413
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.5118787953629841,0.1993781889841746,1-to-1,0.08484265063785762,0.02929894001123374,0.12557417924212655,0.0603989588920939
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.4295967530076209,0.27564562760096917,4-to-1,0.15244958106078693,0.10114056973591506,0.1474097839702186,0.07987574578750285
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26862171719129063,0.11411734154146067,2-to-1,0.010146871164020367,-0.014179822331947013,0.04397688949914488,0.191502795502408
22,Matrix C,WebServer,2.0,0.30340988002115266,0.33961660823501677,0.13738513682277012,2-to-1,0.054747277074829716,0.039889382710246175,0.06625485974499626,0.08815922447594966
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.301372539608719,0.13710603572800742,4-to-1,0.047162383168247723,0.0023541649427014423,0.05083620540618678,-0.015394824575261245
24,Matrix B,WebServer,2.0,0.349409375763963,0.3518223902146095,0.29043564294814567,2-to-1,0.07505916731376037,0.060389487981902606,0.06736691591741974,0.054279458491414544
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6752878495359029,0.5645628370220089,2-to-1,0.3439538128613349,0.09934195394411846,0.33443057050772296,0.11339344321268474
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3127290061309023,0.27147286702955326,1-to-1,0.07711747538744167,0.053944847811412795,0.08602128054401699,0.05384418913721955
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.3442901554133982,0.264588063413133,4-to-1,0.0622666474527561,0.02773007384611164,0.061066756646546184,0.025610301790751272
