id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6773924231971942,0.2752813848459537,1-to-1,0.7293057734059798,0.03518193855538478,0.7804255169416421,-0.20630922119140926,0.7804255169416421,-0.20630922119140926,0.7293057734059798,0.03518193855538478
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.29278610226284046,0.11898227563315734,1-to-1,0.0707204963258708,0.019386582532514685,0.10719077766226703,-0.02089711978725569,0.10719077766226703,-0.02089711978725569,0.0707204963258708,0.019386582532514685
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5329816174757603,0.2573626893776229,4-to-1,0.35513362572168894,0.0668141592096025,0.23447215470925112,-0.0710380668775443,0.23447215470925112,-0.0710380668775443,0.35513362572168894,0.0668141592096025
3,Matrix A,WebServer,1.0,0.7324178498227348,0.8067436732682823,0.6442027132047415,1-to-1,0.87952832610814,0.17935627920398672,0.3430455502018784,-0.191612769794891,0.1892928778417062,-0.1955173948150534,0.87952832610814,0.17935627920398672
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.3839767624820289,0.30469494152867166,1-to-1,0.09905077535895825,-0.03180987677794345,0.04963078012460636,-0.05552498308098626,0.0415951749877784,-0.04665834714436365,0.09905077535895825,-0.03180987677794345
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6462207357353468,0.4966220760597571,4-to-1,0.6979240123586854,0.3184532400599125,0.17765640159643534,-0.1430700106711745,0.10887249772456539,-0.02965900031196953,0.6979240123586854,0.3184532400599125
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7323285479651884,0.5602068861291305,4-to-1,1.0549167837292728,0.32819712827761094,0.176048751969477,-0.1793639583372723,0.12107167435554789,-0.061645497219951675,1.0549167837292728,0.32819712827761094
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7213608730646095,0.5824051676879306,1-to-1,0.7017344958415406,0.0779317127557653,0.39402911970940213,-0.05163990995314874,0.23688888574717276,-0.06711011465688875,0.7017344958415406,0.0779317127557653
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.26742391695434553,0.16738104180832847,4-to-1,0.06795632499894942,0.46536062560407737,0.018261643349951978,-0.1846034875614709,0.010527487733316068,0.007637186801704736,0.06795632499894942,0.46536062560407737
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5633597330632616,0.36147304678956,4-to-1,0.15097144885666708,0.04690446541392205,0.062300870542128406,0.01215711202541781,0.05359260748826651,-0.0220664133671965,0.15097144885666708,0.04690446541392205
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.29977157599268833,0.12735059428622889,2-to-1,0.05984442476688054,0.021301881839209804,0.11253268769264327,-0.008170355584998618,0.11253268769264327,-0.008170355584998618,0.05984442476688054,0.021301881839209804
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.3776831893529236,0.1604494303882678,2-to-1,0.1010607638764448,-0.002535709405883798,0.13440660287008627,-0.0340134546190559,0.13440660287008627,-0.0340134546190559,0.1010607638764448,-0.002535709405883798
12,Matrix C,WebServer,2.0,0.7383383855483423,0.8263943503041119,0.33430138038407115,2-to-1,1.1857620348502542,0.13346892909533103,0.9137349815834083,-0.18243053250350733,0.9137349815834083,-0.18243053250350733,1.1857620348502542,0.13346892909533103
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.6203740441826289,0.47675883596281404,4-to-1,0.566894914654254,0.22583395478754875,0.15614321948772378,-0.18368336904731608,0.10927876809878419,0.06825993623392768,0.566894914654254,0.22583395478754875
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.27643935485394266,0.11234050724644967,1-to-1,0.05091172054598797,0.02607690452060633,0.06620328894046669,0.0014347290019282373,0.06620328894046669,0.0014347290019282373,0.05091172054598797,0.02607690452060633
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6830533818517521,0.5750742934307603,2-to-1,0.5065236058016545,0.11790419770302132,0.0992438207987145,-0.11823864596244493,0.08952526833996828,-0.11847157624410734,0.5065236058016545,0.11790419770302132
16,Matrix A,WebServer,1.0,0.409306522776384,0.45092879853496254,0.3796411093489557,2-to-1,0.19731112829564673,0.11774540959507421,0.0488366334917296,-0.07329754819424321,0.04056394247714976,-0.03006895207275832,0.19731112829564673,0.11774540959507421
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2608385350377827,0.2153268517689615,2-to-1,0.05551090366357063,-0.08010453810195808,0.03519686601366234,-0.022791405856261614,0.020627031560264845,-0.022938242790120997,0.05551090366357063,-0.08010453810195808
18,Matrix A,WebServer,2.0,0.27197601043687214,0.2991130258884246,0.23885020348665115,1-to-1,0.07924132341062724,0.05855766369560803,0.028406639097818053,0.023491130416063495,0.01679070330412962,-0.0004669455285362356,0.07924132341062724,0.05855766369560803
