id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6698708818944059,0.2736934133336324,1-to-1,0.7779506164941397,0.19416653018686605,1.5739482431640885,0.1903582727062133,0.7719078723185541,-0.1625138260152656,0.18155923981854794,-0.01822524776892451
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.29108821992053174,0.11893309957479163,1-to-1,0.047652021644183765,0.00709901452857618,0.43900936625634823,0.1955971234528178,0.11439472136612458,-0.01635621291015168,0.04565785105984756,-0.011667694820698331
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5270379142766808,0.2562526021537638,4-to-1,0.3533530097282531,0.06301385370426658,1.1708238419174233,-0.1528404731443939,0.30331173725205873,-0.057431392316815585,0.0983466026588947,0.037518687397823214
3,Matrix A,WebServer,1.0,0.7324178498227348,0.8068703189092813,0.645581172254276,1-to-1,0.8969586063545403,0.2589917524824503,0.39261730353197855,0.1265775245417785,0.4366557000189293,-0.18296776594236008,0.1088422647045064,-0.008073505035512813
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36813215510635944,0.3036916718480525,1-to-1,0.22210915037761364,0.03210141368587077,0.16556409440076286,0.048197949684843096,0.040997508584970206,-0.029024985663209674,0.09893365655191137,0.04063189362420209
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.623884541679875,0.5004838554787044,4-to-1,,,,,,,,
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7036717439590353,0.5655965811511708,4-to-1,,,,,,,,
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7635122451423426,0.5885965313339186,1-to-1,0.9070027039049458,-0.17158650331755923,0.8072838235834882,-0.13893435589246997,0.34477824594563794,-0.1740856614225609,0.3077022233472212,-0.21024966555232014
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.2647602737456948,0.16767817554690773,4-to-1,0.08748367135875562,0.08590788989509597,0.04154998899718524,-0.35839232387399306,0.009377632873118578,-0.018082840168547405,0.05474014760920374,0.07291246955805018
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.558340167558065,0.36193611279970855,4-to-1,0.2407641847430248,0.1664132215024973,0.13417312786520247,-0.15565691064197515,0.06644666153815237,-0.034418159134500824,0.09952513855768134,0.024631506102212614
