id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__pmn_m_path,p99__ns3__pmn_m_path
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6773924231971942,0.2752813848459537,1-to-1,0.7293057734059798,0.03518193855538478,0.7293057734059798,0.03518193855538478,0.7804255169416421,-0.20630922119140926,0.7293057734059798,0.03518193855538478
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.29278610226284046,0.11898227563315734,1-to-1,0.0707204963258708,0.019386582532514685,0.0707204963258708,0.019386582532514685,0.10719077766226703,-0.02089711978725569,0.0707204963258708,0.019386582532514685
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5329816174757603,0.2573626893776229,4-to-1,0.35513362572168894,0.0668141592096025,0.35513362572168894,0.0668141592096025,0.23447215470925112,-0.0710380668775443,0.35513362572168894,0.0668141592096025
3,Matrix A,WebServer,1.0,0.7324178498227348,0.8067436732682823,0.6442027132047415,1-to-1,0.6057696205835199,0.2436553661058115,0.6057696205835199,0.2436553661058115,0.5006881838866604,-0.2371165057915595,0.6057696205835199,0.2436553661058115
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.3839767624820289,0.30469494152867166,1-to-1,0.1017006527727968,0.02833619077203742,0.1017006527727968,0.02833619077203742,0.06004949436636624,0.057570717448660935,0.1017006527727968,0.02833619077203742
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6462207357353468,0.4966220760597571,4-to-1,0.05795213683416323,-0.6652025639204521,0.05795213683416323,-0.6652025639204521,0.005729812921786724,-0.014255079423995483,0.05795213683416323,-0.6652025639204521
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7323285479651884,0.5602068861291305,4-to-1,0.047600949607196956,-0.5711628623294026,0.047600949607196956,-0.5711628623294026,0.0016267453261829801,-0.007110245657311864,0.047600949607196956,-0.5711628623294026
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7213608730646095,0.5824051676879306,1-to-1,0.06952038552705266,-0.6927789047650014,0.06952038552705266,-0.6927789047650014,0.004691318114832374,-0.01021366896031017,0.06952038552705266,-0.6927789047650014
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.26742391695434553,0.16738104180832847,4-to-1,0.08175237457433923,0.34913930228582396,0.08175237457433923,0.34913930228582396,0.017284724839540515,-0.0033406883712243356,0.08175237457433923,0.34913930228582396
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5633597330632616,0.36147304678956,4-to-1,0.0966969522728495,0.00919540849122856,0.0966969522728495,0.00919540849122856,0.05228644343051321,0.021114334450256445,0.0966969522728495,0.00919540849122856
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.29977157599268833,0.12735059428622889,2-to-1,0.05984442476688054,0.021301881839209804,0.05984442476688054,0.021301881839209804,0.11253268769264327,-0.008170355584998618,0.05984442476688054,0.021301881839209804
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.3776831893529236,0.1604494303882678,2-to-1,0.1010607638764448,-0.002535709405883798,0.1010607638764448,-0.002535709405883798,0.13440660287008627,-0.0340134546190559,0.1010607638764448,-0.002535709405883798
12,Matrix C,WebServer,2.0,0.7383383855483423,0.8263943503041119,0.33430138038407115,2-to-1,1.1857620348502542,0.13346892909533103,1.1857620348502542,0.13346892909533103,0.9137349815834083,-0.18243053250350733,1.1857620348502542,0.13346892909533103
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.6203740441826289,0.47675883596281404,4-to-1,0.060775960670379166,-0.6557829725675922,0.060775960670379166,-0.6557829725675922,0.004983510886452927,0.04071495617382849,0.060775960670379166,-0.6557829725675922
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.27643935485394266,0.11234050724644967,1-to-1,0.05091172054598797,0.02607690452060633,0.05091172054598797,0.02607690452060633,0.06620328894046669,0.0014347290019282373,0.05091172054598797,0.02607690452060633
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6830533818517521,0.5750742934307603,2-to-1,0.45882170981863846,0.09238978928114525,0.45882170981863846,0.09238978928114525,0.1224349123279496,-0.146144223341918,0.45882170981863846,0.09238978928114525
16,Matrix A,WebServer,1.0,0.409306522776384,0.45092879853496254,0.3796411093489557,2-to-1,0.20536879217722992,0.06759875545215381,0.20536879217722992,0.06759875545215381,0.05522266492493279,-0.06467086800928953,0.20536879217722992,0.06759875545215381
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2608385350377827,0.2153268517689615,2-to-1,0.010743326177274522,0.3025013930084412,0.010743326177274522,0.3025013930084412,0.0015827806661142278,-0.043513934670772046,0.010743326177274522,0.3025013930084412
18,Matrix A,WebServer,2.0,0.27197601043687214,0.2991130258884246,0.23885020348665115,1-to-1,0.08843090180700608,0.16169621774227363,0.08843090180700608,0.16169621774227363,0.03432609927532907,0.01958357767859096,0.08843090180700608,0.16169621774227363
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.5118787953629841,0.1993781889841746,1-to-1,0.4571055452339798,0.04917027129638623,0.4571055452339798,0.04917027129638623,0.17432477994525863,-0.03524349210623135,0.4571055452339798,0.04917027129638623
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.4295967530076209,0.27564562760096917,4-to-1,0.10364573172080065,0.11855980646076171,0.10364573172080065,0.11855980646076171,0.05280321321596698,-0.1493487153619498,0.10364573172080065,0.11855980646076171
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26862171719129063,0.11411734154146067,2-to-1,0.0562177103300225,0.010506218666700044,0.0562177103300225,0.010506218666700044,0.08222284422696213,-0.03683454546721599,0.0562177103300225,0.010506218666700044
22,Matrix C,WebServer,2.0,0.30340988002115266,0.33961660823501677,0.13738513682277012,2-to-1,0.2957960699891339,0.07542114329466494,0.2957960699891339,0.07542114329466494,0.11532229941415612,-0.011834109160359386,0.2957960699891339,0.07542114329466494
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.301372539608719,0.13710603572800742,4-to-1,0.24969224132602746,0.004570433357429538,0.24969224132602746,0.004570433357429538,0.11903299711905102,-0.017046063426384567,0.24969224132602746,0.004570433357429538
24,Matrix B,WebServer,2.0,0.349409375763963,0.3518223902146095,0.29043564294814567,2-to-1,0.024437691594959295,-0.48019200504048964,0.024437691594959295,-0.48019200504048964,0.0011692035693418854,-0.009303290898998064,0.024437691594959295,-0.48019200504048964
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6752878495359029,0.5645628370220089,2-to-1,0.2834213599888365,0.046920500356276415,0.2834213599888365,0.046920500356276415,0.1632224810905967,-0.06357125807166943,0.2834213599888365,0.046920500356276415
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3127290061309023,0.27147286702955326,1-to-1,0.061628470655696245,-0.08735874635645316,0.061628470655696245,-0.08735874635645316,0.06869241243398566,-0.05863738837686942,0.061628470655696245,-0.08735874635645316
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.3442901554133982,0.264588063413133,4-to-1,0.0318221128269825,-0.6181804966495443,0.0318221128269825,-0.6181804966495443,0.0036315216858274113,-0.016684186251257026,0.0318221128269825,-0.6181804966495443
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.4045011011910043,0.2531778627045593,4-to-1,0.13945811473131678,0.16576755246963704,0.13945811473131678,0.16576755246963704,0.03082560035487737,-0.07131414406292229,0.13945811473131678,0.16576755246963704
29,Matrix B,WebServer,1.0,0.518351058647661,0.519584855901024,0.42893261968443375,2-to-1,0.028564547212045717,-0.37511161666051984,0.028564547212045717,-0.37511161666051984,0.0018052969787609458,-0.007137918815860773,0.028564547212045717,-0.37511161666051984
30,Matrix C,WebServer,2.0,0.2625526151749801,0.29388157786621394,0.13297153989218682,4-to-1,0.23337255018342296,0.06951100984018457,0.23337255018342296,0.06951100984018457,0.09361891379294612,-0.004068881848859464,0.23337255018342296,0.06951100984018457
31,Matrix C,WebServer,2.0,0.47527916957783684,0.532026984198413,0.20671933755105248,1-to-1,0.46122215418371004,0.036249369338607666,0.46122215418371004,0.036249369338607666,0.12290537214137953,-0.044505338021004266,0.46122215418371004,0.036249369338607666
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5653472668595717,0.46309396131772596,2-to-1,0.04566977844976994,-0.458462784708702,0.04566977844976994,-0.458462784708702,0.0037225386875828657,-0.013071963222769266,0.04566977844976994,-0.458462784708702
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28001147103539437,0.22936945948023757,2-to-1,0.04849279262409712,-0.6419336706130286,0.04849279262409712,-0.6419336706130286,0.0017609243140932836,-0.015470658377261137,0.04849279262409712,-0.6419336706130286
