id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,p99__ns3__mlsys
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6591611430616593,0.2723146939847312,1-to-1,0.10974579356552343,0.07505685079913996,-0.7922124145946442
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2876929699478417,0.11885259451670038,1-to-1,0.00991382393950974,-0.011454240384935236,-0.5948691803364641
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.518592781711457,0.255199141067721,4-to-1,0.06241148190186934,0.04123603971086277,-0.743449445171297
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7709129288939737,0.6500456006146497,1-to-1,0.5507147469141718,0.1950855098097169,0.08925669180599445
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36424945734588,0.3060586524838771,1-to-1,0.08002176011683454,0.01874714377664602,-0.22581333573511017
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6166364382169393,0.4973821265629491,4-to-1,0.3874579126064401,0.1227709150119749,-0.1729261623550203
6,Matrix B,WebServer,1.0,0.6901726291402162,0.6980250363758499,0.5628282178238886,4-to-1,0.5783730158118128,0.25970046290711646,-0.3883320494618301
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7273665617621711,0.5849663040293989,1-to-1,0.3780925430658892,0.10215307661765816,0.16374457336074874
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.2617718317237643,0.16821283993102365,4-to-1,0.03812503322525972,0.07339554999104926,-0.2643081709328043
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5565187674786835,0.3623877336782236,4-to-1,0.31564471126650473,0.1826705969189155,-0.28444359439658595
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.294553895043232,0.12746598855620228,2-to-1,0.010020821384142665,-0.017677451733218576,-0.5977021418786226
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.37110609088770635,0.16059337707059548,2-to-1,0.015192030436060206,0.007502969618206119,-0.677749987372149
12,Matrix C,WebServer,2.0,0.7383383855483423,0.7700406156740287,0.325269561911615,2-to-1,0.18733694726122835,0.0970974831310247,-0.8036990498918662
13,Matrix B,Hadoop,2.0,0.5860334719877185,0.591899435235281,0.47742913258870195,4-to-1,0.33246253845429835,0.10183702642428238,-0.18165667847375097
14,Matrix C,CacheFollower,2.0,0.2671581429794989,0.2689847849388525,0.11112382786220588,1-to-1,0.015925255786580175,0.00048519696375683684,-0.6173892665490547
15,Matrix A,WebServer,2.0,0.6213051726408152,0.6529370250217466,0.5822289599255619,2-to-1,0.45785361968628463,0.17984716450054294,-0.24936608726971876
16,Matrix A,WebServer,1.0,0.409306522776384,0.43076241555513783,0.38411778418386383,2-to-1,0.1292930679104997,0.06956761476837321,-0.3139035840833533
17,Matrix B,WebServer,2.0,0.2590273444600284,0.2636001839279914,0.21635238788597794,2-to-1,0.04977203305186588,0.060282524514267376,-0.28589494479878735
18,Matrix A,WebServer,2.0,0.27197601043687214,0.28589346871728827,0.24106773643888035,1-to-1,0.06556576300365435,0.06514471183238589,-0.17933669567687743
19,Matrix C,Hadoop,1.0,0.46548395995167463,0.48174592848983067,0.19638509844413576,1-to-1,0.07922800674156857,0.024609664095078414,-0.7596447707779673
20,Matrix A,CacheFollower,2.0,0.42465960069254305,0.42440217298756777,0.27635751141884735,4-to-1,0.15133848787050755,0.10028771245824775,-0.2785471964619161
21,Matrix C,CacheFollower,1.0,0.2616492152306864,0.26395187509410795,0.11422319397691946,2-to-1,0.00917866054218087,-0.008138203591788379,-0.55244967330632
22,Matrix C,WebServer,2.0,0.30340988002115266,0.31639692836361577,0.13364787284713586,2-to-1,0.05099002971470935,0.027421346332346514,-0.6715224115774051
23,Matrix C,Hadoop,2.0,0.2719164250616908,0.2808672646686301,0.13558122383584428,4-to-1,0.04100979293658886,-0.012043789109326153,-0.6918093001573555
24,Matrix B,WebServer,2.0,0.349409375763963,0.355573105867268,0.2918400487346142,2-to-1,0.07781907761842793,0.07442643728904727,-0.34598712942570675
25,Matrix A,Hadoop,1.0,0.6068434737969903,0.6402723654149143,0.5687675531344533,2-to-1,0.37895010215753594,0.11803369952859186,-0.27428382217593184
26,Matrix A,CacheFollower,1.0,0.30974796746406696,0.3112208616284272,0.2738521446107536,1-to-1,0.07731649014674204,0.05220488557823061,-0.21616836966735384
27,Matrix B,Hadoop,1.0,0.32663654142670284,0.3301038370380885,0.2662639933089211,4-to-1,0.06509690704980184,0.017956837940755466,-0.29316251080526584
28,Matrix A,Hadoop,2.0,0.3895119590853292,0.39594782279670027,0.25443344037129006,4-to-1,0.08318728544123279,0.049297524960088226,-0.3373039875338998
29,Matrix B,WebServer,1.0,0.518351058647661,0.5279212290725441,0.43329652855480877,2-to-1,0.15589639320356358,0.07226488605382368,-0.3988452616846569
30,Matrix C,WebServer,2.0,0.2625526151749801,0.2738085183549648,0.13110418254979775,4-to-1,0.04359043671204891,0.038431227410960285,-0.6287276307629082
31,Matrix C,WebServer,2.0,0.47527916957783684,0.49555750161971035,0.20020120887630471,1-to-1,0.09079314708231796,0.06343840610244342,-0.7334886154432219
32,Matrix B,Hadoop,2.0,0.5584738779382943,0.5700449226534888,0.46679303412940476,2-to-1,0.1948961764661599,0.0522657703951769,-0.1646786756387548
33,Matrix B,Hadoop,1.0,0.2777842232339133,0.28370501457520436,0.23231775350304748,2-to-1,0.048493953466016516,0.017041115381404195,-0.31200983795203135
34,Matrix C,Hadoop,1.0,0.3857303263943396,0.3992011546042259,0.16273548651023315,1-to-1,0.06498326992526522,0.02782186954377572,-0.7575207102446639
35,Matrix A,WebServer,2.0,0.2630220239195611,0.2765106385322609,0.24656665998860022,2-to-1,0.06693122567004124,0.06318455925863102,-0.27099847379078745
36,Matrix A,WebServer,1.0,0.4189518845598552,0.4268745738592954,0.274310178057828,4-to-1,0.09013264084811508,0.08589262950614003,-0.2621768335355135
37,Matrix C,Hadoop,1.0,0.6046028883056305,0.6256956632566842,0.2550666174024014,1-to-1,0.10904107662972848,0.020185206744643046,-0.7684892987166754
38,Matrix C,Hadoop,2.0,0.6834829684595175,0.7059739488900355,0.3007508890208525,2-to-1,0.14705541920224927,0.058065118107507585,-0.7825961816475016
39,Matrix A,CacheFollower,2.0,0.2696321481117253,0.2706457266553935,0.2514692270127066,2-to-1,0.09278397014930055,0.06321744656332134,-0.26878263000036173
40,Matrix C,Hadoop,2.0,0.5152928979574745,0.5322486129328099,0.2267424226861392,2-to-1,0.09420899113612527,0.02738370648947114,-0.7574125296660075
41,Matrix A,WebServer,2.0,0.3266624065232707,0.33254577055776346,0.21369409093095804,4-to-1,0.06110766016847771,0.07565383756585464,-0.22142426894955045
42,Matrix C,CacheFollower,1.0,0.5569544659977093,0.5618630293742494,0.24314201128375607,2-to-1,0.04195744507382225,0.034192597379063654,-0.7500300175328168
43,Matrix C,WebServer,2.0,0.4920141804432579,0.5130852672169132,0.20728228393453274,1-to-1,0.09534788116023171,0.06246071440547476,-0.7368179379363741
44,Matrix B,CacheFollower,2.0,0.2935749864576772,0.29401569113025033,0.23901979139944232,4-to-1,0.08784089724642354,0.03864274540033103,-0.294941475225599
45,Matrix B,Hadoop,2.0,0.31627027149863873,0.3194482932912132,0.2576686384368904,4-to-1,0.0676966903453564,0.020247610694858312,-0.2897409842375021
46,Matrix A,Hadoop,1.0,0.47397038559206334,0.5000982817941234,0.42020840161439726,1-to-1,0.1359786826324332,0.049356874202555925,-0.13208005698830622
47,Matrix A,WebServer,2.0,0.6494533494271933,0.661196684703691,0.4248853449951434,4-to-1,0.39990529330897123,0.27989973091975284,-0.3007819193404802
48,Matrix B,CacheFollower,2.0,0.5399094882804178,0.543312053562992,0.44334084767759635,1-to-1,0.22614219664899451,0.045238389402833555,-0.27455589398469943
49,Matrix A,WebServer,2.0,0.2777694326655076,0.2919814117608635,0.2603620672998521,2-to-1,0.07235573673757921,0.06510607199436093,-0.2796397640167236
50,Matrix A,Hadoop,1.0,0.6220991136292884,0.6563320510802365,0.5514840825776127,1-to-1,0.2931088908678886,0.10647358010946481,-0.022535884766469172
51,Matrix A,CacheFollower,1.0,0.4556169864961452,0.45579321488458013,0.2967978559907346,4-to-1,0.11370805140937497,0.07700686356459839,-0.29592840902104495
52,Matrix C,CacheFollower,1.0,0.6112845687720734,0.6166598019492793,0.2547563724232013,1-to-1,0.05498513459500127,0.03776279854953432,-0.7705267569464272
53,Matrix C,CacheFollower,2.0,0.7390207853323516,0.7440860266512216,0.3073991250465845,1-to-1,0.16603076029220618,0.10927710237970299,-0.848145197759071
54,Matrix C,CacheFollower,1.0,0.3997012306279446,0.40320785953282573,0.1665744569426098,1-to-1,0.017092167488442875,0.039958490169087126,-0.7134349356850029
