id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
0,Matrix C,CacheFollower,2.0,0.6546710160064348,0.6628307977260223,0.2734229503430478,1-to-1,0.7114206189104715,0.13227009727266886,0.7114206189104715,0.13227009727266886,0.8000508824782229,-0.1810533261382038,3.2432208916700227,-0.26841546568191715
1,Matrix C,CacheFollower,1.0,0.2851827465663648,0.2886436068196132,0.11906835897434562,1-to-1,0.04125260076228232,0.002741567332694907,0.04125260076228232,0.002741567332694907,0.10132191046092344,-0.018730699130779172,0.5908721448689336,-0.5958022080105629
2,Matrix C,CacheFollower,2.0,0.5150773623899252,0.5214932425062133,0.25627710353730976,4-to-1,0.36947860711596026,0.05612390622147313,0.36947860711596026,0.05612390622147313,0.2771425005811611,-0.04843959542007704,1.8952870077714694,-0.32300934511765816
3,Matrix A,WebServer,1.0,0.7324178498227348,0.7619773851734175,0.6490318029874039,1-to-1,0.9659516732732728,0.14883225940014547,0.9089884053150721,0.11803198897002351,0.4237677274190192,-0.18380559272210983,2.0053499543644087,-0.3778965168011986
4,Matrix A,Hadoop,2.0,0.3455859171762805,0.36391695850136335,0.3063147130999203,1-to-1,0.1502247498762969,0.019835808588589018,0.1328548262532591,0.0790518854312412,0.06201700246773864,0.016168526034264434,0.5072476537021233,-0.4208081662323563
5,Matrix B,Hadoop,2.0,0.6104936716327665,0.6221295421616931,0.5003857758622806,4-to-1,0.040235940503555806,0.7219620720092683,0.040235940503555806,0.7219620720092683,0.0021277578655995028,-0.00039160825019066115,0.019989309602708557,-0.21767198226099665
6,Matrix B,WebServer,1.0,0.6901726291402162,0.7045276500289129,0.5659037440559127,4-to-1,0.022349537092939204,0.29553882030336365,0.022349537092939204,0.29553882030336365,0.003263243796509473,-0.0018344957423221107,0.02100456086719592,-0.23563785269018964
7,Matrix B,Hadoop,2.0,0.7126208270275072,0.7802090318941546,0.5857986284782186,1-to-1,0.02088519936438161,0.03297872307803752,0.02088519936438161,0.03297872307803752,0.010499411243969936,-0.1395010775929927,0.031310666069896805,-0.39710730620499574
8,Matrix A,Hadoop,2.0,0.25751251172962664,0.26454649403754377,0.16812615169828812,4-to-1,0.08263617307240159,0.03813940019441645,0.10870745389895836,0.0619224354442448,0.012419528417395003,0.01697703672749207,0.12016087695797514,-0.46110187989848755
9,Matrix A,CacheFollower,2.0,0.5568846038892901,0.5604329894407806,0.36273010724554977,4-to-1,0.21281405779006,0.06373184058404706,0.24872827033439526,0.08533215477996955,0.06654825398131871,0.0008955757722900517,0.36266058921964156,-0.38961035413142175
10,Matrix C,CacheFollower,1.0,0.2919822652843035,0.29552807752691046,0.12765535969723957,2-to-1,0.04426926899438889,-0.002490708341951737,0.04426926899438889,-0.002490708341951737,0.11008891204229942,-0.021501067851449732,0.619124448718302,-0.5869342242351632
11,Matrix C,CacheFollower,1.0,0.36787237542304263,0.3723308495510354,0.1608308385522923,2-to-1,0.07244704281964505,0.009226850183076854,0.07244704281964505,0.009226850183076854,0.15337481803781305,-0.02500180543010616,0.9268462410953138,-0.5329861687524623
